Percent_complete_for_all_immunizations,County
87.8,SPOKANE
95.5,PACIFIC
67,KING
84.8,LEWIS
96.5,CHELAN
94.8,CHELAN
91.9,SPOKANE
70.5,SPOKANE
88.9,KING
85.6,KING
85.9,PIERCE
94.1,SPOKANE
96.6,PIERCE
95.2,KING
80,STEVENS
98.8,FRANKLIN
89.6,BENTON
99.7,YAKIMA
84.2,GRANT
81.3,KING
85.4,CLARK
94.4,CLARK
90.7,KING
100,BENTON
91.3,JEFFERSON
82.4,JEFFERSON
76.3,JEFFERSON
77.1,JEFFERSON
87.6,KING
91.2,CLARK
91,KING
85.2,THURSTON
79.5,KING
90.3,PIERCE
80,KING
90.5,KING
85.1,MASON
78.6,KITSAP
99.4,KING
98.7,BENTON
94.6,PIERCE
84.3,KING
73.2,LINCOLN
83.7,KING
77.1,KING
93.7,CLALLAM
7.6,CLARK
93.8,KING
93.8,KITTITAS
95.6,KITTITAS
97.7,KITSAP
76.3,SKAGIT
85.4,KING
93.3,KING
93.8,PIERCE
83.7,PIERCE
98.7,DOUGLAS
84.5,KING
91.8,SPOKANE
92.4,WHITMAN
88.2,SNOHOMISH
85.1,WALLA WALLA
87.3,SNOHOMISH
95.5,PIERCE
93.4,WHITMAN
100,CLARK
80.9,PIERCE
94.9,WALLA WALLA
91.7,SNOHOMISH
72.2,WHATCOM
97.2,CHELAN
88.9,SKAMANIA
96.1,COWLITZ
91.7,STEVENS
92.4,WALLA WALLA
93.5,KLICKITAT
68.4,PIERCE
93.5,WALLA WALLA
97.5,GRANT
94.8,CLARK
96.3,WALLA WALLA
65.4,CLARK
96.1,COWLITZ
83.2,STEVENS
88.7,STEVENS
66.7,STEVENS
97.9,PIERCE
94.8,THURSTON
80,PIERCE
85.9,KING
87.1,KING
97.6,KING
91.4,PIERCE
88,SKAGIT
89.5,SKAGIT
89.1,FRANKLIN
91.4,FRANKLIN
89.3,SPOKANE
92,SKAGIT
89.8,SPOKANE
91,WHATCOM
56.4,SNOHOMISH
66,THURSTON
99.2,WHATCOM
87.8,CLARK
81.3,GRAYS HARBOR
92.7,KING
96.1,BENTON
96.1,KITSAP
92.4,YAKIMA
92.2,SNOHOMISH
,KING
88.2,PIERCE
97.1,KING
95.6,KITSAP
92.1,GRANT
,FRANKLIN
100,KING
83.3,LINCOLN
90.7,ISLAND
87.9,ISLAND
76.5,ISLAND
80,WHATCOM
89.5,PIERCE
88.3,KING
26.8,CLARK
95.2,COWLITZ
78.6,LEWIS
100,LEWIS
,SPOKANE
60,KING
95.7,KING
96.5,ISLAND
91.8,PIERCE
82.8,CLALLAM
79.2,CLARK
94.6,LINCOLN
92.2,LINCOLN
,GRANT
92.9,PIERCE
90.3,KING
92.8,KITSAP
92.3,SNOHOMISH
90.5,KITSAP
95.3,KING
68,FERRY
89.4,PIERCE
95.5,PIERCE
82.6,PEND OREILLE
88.1,WHATCOM
97.2,PIERCE
91.4,SNOHOMISH
94.4,PIERCE
82.1,KITTITAS
84.8,KING
91.1,SNOHOMISH
94,SNOHOMISH
100,KING
100,KING
66.7,KING
100,KING
85.3,LINCOLN
84.5,LINCOLN
77,KING
91.9,KITSAP
91.2,WALLA WALLA
98.4,YAKIMA
75,PIERCE
82.5,CLARK
82.8,CLARK
81.7,COLUMBIA
90.3,COLUMBIA
