Percent_complete_for_all_immunizations,County
54.5,WHATCOM
77.4,WHATCOM
92.1,SKAGIT
80.1,WHATCOM
86.3,SKAGIT
52.8,CLARK
94.6,KING
93,KING
71,SKAGIT
96.5,SKAGIT
96.5,KING
93.5,PIERCE
,CLARK
68.4,CLALLAM
95.4,GRANT
93.2,MASON
91.8,THURSTON
61.3,CLARK
83.6,PIERCE
82,KITSAP
90.9,SNOHOMISH
88.9,SPOKANE
94.1,YAKIMA
91.2,SNOHOMISH
94.7,SNOHOMISH
97.5,YAKIMA
94.6,SNOHOMISH
84.4,KING
93.6,SPOKANE
97.1,PIERCE
,MASON
85.7,SNOHOMISH
2.7,COWLITZ
85.9,KITTITAS
92.1,PIERCE
,KING
92.1,KING
100,SNOHOMISH
93.6,SNOHOMISH
91.7,SPOKANE
92.4,KITSAP
89.5,OKANOGAN
90.7,PIERCE
93.6,PIERCE
96.4,YAKIMA
98.4,YAKIMA
93.1,YAKIMA
93.6,YAKIMA
91.5,LEWIS
94.6,LEWIS
93.9,PIERCE
98.1,PACIFIC
96.7,PACIFIC
76.8,KING
88.7,KING
86.7,KITSAP
81.1,CLALLAM
68.6,CLALLAM
88.2,KING
90.1,KING
95,PIERCE
95.9,OKANOGAN
88.1,SPOKANE
91.9,KITSAP
97.6,KING
98.1,FRANKLIN
83.7,GRANT
89.2,THURSTON
,THURSTON
95.5,KING
96.3,KING
100,KING
93,KING
65.6,PEND OREILLE
92.7,KING
84.6,YAKIMA
89.6,SPOKANE
77.2,THURSTON
97.2,YAKIMA
90.5,WHATCOM
85.8,WHATCOM
78.4,WHATCOM
88.7,KING
,GRAYS HARBOR
,GRAYS HARBOR
93.7,KING
71.4,KING
95.4,SPOKANE
100,GRAYS HARBOR
100,OKANOGAN
84.9,GRANT
96.5,KING
93.3,KITSAP
83.7,SNOHOMISH
92.1,MASON
77.6,SNOHOMISH
90.8,SPOKANE
77.3,GRAYS HARBOR
93.3,KING
94.1,PIERCE
91.5,PIERCE
92.9,THURSTON
96.6,SPOKANE
100,ISLAND
100,ISLAND
92.8,ISLAND
95.4,WHATCOM
100,KING
100,KING
70.7,KING
97.6,COWLITZ
94.6,KING
50.9,STEVENS
45.5,STEVENS
93.1,SNOHOMISH
93.3,KING
56,KING
65.6,KING
35.7,SPOKANE
98.4,THURSTON
90.8,PIERCE
82.9,SPOKANE
82.6,SPOKANE
,KING
33.3,KING
88.9,KING
90.7,KING
92.9,KING
94.7,PIERCE
94.6,KING
91.3,SPOKANE
63.6,KING
68.5,THURSTON
64.4,ISLAND
96.6,ISLAND
96.1,ISLAND
91.9,ISLAND
91.9,SNOHOMISH
94.5,PIERCE
84.6,WHITMAN
97.6,WHITMAN
91.6,MASON
96.9,PIERCE
,YAKIMA
94.8,LEWIS
88,GRAYS HARBOR
87,GRAYS HARBOR
7.1,SAN JUAN
87.8,PACIFIC
80,JEFFERSON
78.1,GRAYS HARBOR
0,FRANKLIN
87.6,GRAYS HARBOR
92.5,GRAYS HARBOR
98.9,KING
93.4,LINCOLN
83,KING
93,SNOHOMISH
87.6,KITSAP
77.4,KITSAP
68.8,OKANOGAN
88.5,OKANOGAN
84.9,OKANOGAN
91.4,KITSAP
92.8,SNOHOMISH
70.6,THURSTON
64,THURSTON
85.8,THURSTON
49.4,THURSTON
49,THURSTON
36.5,THURSTON
96.4,CLALLAM
91.8,LEWIS
96.8,COWLITZ
95.4,KITSAP
85.5,KING
86.3,MASON
85,KING
95.1,ISLAND
93.3,THURSTON
96.4,KING
90.7,KING
88.2,SNOHOMISH
100,OKANOGAN
94.3,OKANOGAN
90.8,OKANOGAN
93.6,SPOKANE
93.4,LEWIS
95.6,LEWIS
94.5,LEWIS
41,STEVENS
86.8,SPOKANE
96.8,KING
91.1,SPOKANE
85.1,WHATCOM
75.9,KING
58.3,SAN JUAN
43.7,SAN JUAN
78.8,SAN JUAN
53.7,SAN JUAN
95.2,SPOKANE
97.2,BENTON
94.1,KITSAP
97.7,CHELAN
84.1,SPOKANE
73.7,CLARK
93.1,KITSAP
75,FERRY
99.3,DOUGLAS
88.7,OKANOGAN
87.3,OKANOGAN
93.6,PIERCE
89.5,PIERCE
94.9,PIERCE
93.1,CHELAN
95.8,ADAMS
85.3,SPOKANE
97.4,KING
58.6,KING
98.3,CLARK
96.6,KING
72.6,KITSAP
99.5,YAKIMA
31.6,KING
97.5,KING
95.1,LINCOLN
85.4,MASON
55.6,YAKIMA
,GRAYS HARBOR
95.2,KING
96.8,CLARK
88.7,KING
0,KING
53.1,KING
94.3,KING
33.6,CLARK
78.8,STEVENS
81.3,KITSAP
83.2,SPOKANE
100,DOUGLAS
87.2,WHITMAN
90,FRANKLIN
65.1,STEVENS
83.4,KING
89,KING
61.1,KING
94.7,THURSTON
89.8,PIERCE
0,BENTON
94.6,KING
100,GRANT
89.7,SNOHOMISH
76.5,PIERCE
88.2,THURSTON
93,KING
81.5,WHATCOM
,ASOTIN
95.9,GRANT
94.1,KING
87.7,SPOKANE
,OKANOGAN
95.3,FRANKLIN
86.9,OKANOGAN
87.3,OKANOGAN
93.3,BENTON
70.8,KING
92.6,CHELAN
96.4,LEWIS
95.6,KITSAP
,SNOHOMISH
62.5,OKANOGAN
0,PIERCE
92,GRANT
89.1,PIERCE
93.7,SNOHOMISH
92.7,KING
97.5,PIERCE
94.1,CHELAN
82.1,THURSTON
88,CLARK
89.2,KING
96.4,BENTON
87.4,PIERCE
47.4,JEFFERSON
90.6,SNOHOMISH
5.2,PIERCE
97.4,KING
89.6,KING
97.3,KITSAP
70.8,KING
93.6,SNOHOMISH
95.3,GRANT
90.6,SNOHOMISH
81.4,THURSTON
90.5,KING
97.2,YAKIMA
72.2,CLARK
88.2,MASON
83.8,WHATCOM
79.6,PIERCE
94.7,CHELAN
88.2,WALLA WALLA
95.1,MASON
,SPOKANE
91,PIERCE
85.5,THURSTON
84.1,CLARK
86.2,CLARK
86.1,PIERCE
66.7,WHATCOM
91.8,GARFIELD
96.1,GARFIELD
90.1,SPOKANE
91.3,PIERCE
98.7,THURSTON
93.1,CLALLAM
64.6,SNOHOMISH
83.7,SNOHOMISH
63.5,JEFFERSON
87.9,SNOHOMISH
95.7,KITSAP
93.8,KITSAP
93.8,CLARK
92.4,SPOKANE
,KING
86.1,WALLA WALLA
81.1,WALLA WALLA
92.4,SNOHOMISH
90.6,WALLA WALLA
99.4,SPOKANE
100,KING
90.9,SPOKANE
95.4,WALLA WALLA
94.6,BENTON
98.3,BENTON
97.3,BENTON
,SNOHOMISH
48.6,WHATCOM
76.2,SNOHOMISH
88.2,CLARK
97.1,PIERCE
91.6,KING
,KING
,PIERCE
52.8,KING
,KING
86.6,WHITMAN
94.4,WHITMAN
94.5,PIERCE
96.5,PIERCE
85.4,KING
91.8,CLALLAM
94.7,CLALLAM
84.3,SNOHOMISH
36.5,JEFFERSON
19,CLALLAM
97,GRANT
87.9,GRANT
96.6,GRANT
98.4,GRANT
96.6,COWLITZ
94.9,LEWIS
73.2,KING
80.8,KING
93.2,KING
90.6,KING
52.5,KING
84.1,THURSTON
91,PIERCE
71.8,THURSTON
87,KING
,KING
87.2,THURSTON
91,KING
91.7,KING
94.7,KING
93.1,PACIFIC
93.1,PACIFIC
64.5,LINCOLN
70.9,LINCOLN
98.4,GRANT
90.6,KING
92.3,KING
82.1,KING
97.8,PIERCE
100,PIERCE
0,PIERCE
39.7,THURSTON
95,SPOKANE
87,KITSAP
83.3,KING
92.3,KING
91.6,KING
93.6,KING
57.4,KING
91.5,KING
90.9,FERRY
80.6,FERRY
88.8,FERRY
92.8,KITSAP
92.3,BENTON
95.8,BENTON
91.9,KING
93.3,PIERCE
92.2,CLARK
86.8,THURSTON
100,KING
95.9,KITSAP
94.8,SPOKANE
98.1,YAKIMA
94.5,KING
,THURSTON
90.3,ADAMS
89,ADAMS
92.7,THURSTON
90.3,BENTON
70.6,SPOKANE
95,SPOKANE
71.3,BENTON
98.9,YAKIMA
89.5,SPOKANE
91.1,SPOKANE
84,SPOKANE
78.6,CLARK
87.5,SNOHOMISH
82.2,CLARK
44.4,STEVENS
98.6,DOUGLAS
95.2,FRANKLIN
90,GRAYS HARBOR
93.2,COWLITZ
58.3,FRANKLIN
98.1,YAKIMA
93.3,THURSTON
73.2,THURSTON
88.7,THURSTON
93.3,KING
,LINCOLN
97.8,DOUGLAS
93,KING
94,PIERCE
83.1,WALLA WALLA
93.8,SPOKANE
95.2,PIERCE
88.1,SPOKANE
98.1,YAKIMA
90,KLICKITAT
96.7,PIERCE
78.4,THURSTON
90.5,WHATCOM
88.2,CLALLAM
98.4,YAKIMA
84.9,CLARK
83.7,KING
91,KING
42.8,WHITMAN
96,FRANKLIN
84.3,KING
83.6,KING
99.2,COWLITZ
99.5,FRANKLIN
87.7,KING
94.5,THURSTON
97.9,GRANT
99,GRANT
98.4,GRANT
92.2,KING
97,FRANKLIN
96.9,BENTON
75.4,KING
91.5,CLARK
81.7,KING
90.1,SPOKANE
0,SPOKANE
97.7,KING
94.1,GRANT
100,ADAMS
34.5,PEND OREILLE
100,GRANT
89.2,GRANT
83.3,BENTON
,BENTON
88.1,KING
98.2,SPOKANE
95.1,COWLITZ
91.8,KITSAP
89,SNOHOMISH
100,SKAGIT
92.2,SPOKANE
,KITSAP
61.6,KING
94,CLARK
,SAN JUAN
88.9,SPOKANE
93.4,PIERCE
88.1,SKAGIT
87.5,KING
90.7,MASON
88.7,KING
87.8,KING
91.1,KING
92.9,CLARK
83.8,GRAYS HARBOR
61,YAKIMA
88,KING
81.1,KING
85.5,KING
90.6,SNOHOMISH
95.5,PIERCE
94.4,ADAMS
82.7,SNOHOMISH
98,PIERCE
100,PIERCE
95.6,KING
94,KING
69.6,KING
94.6,KING
91.7,KING
66.7,KING
97.2,KING
99.2,KING
91.6,KING
90.3,SNOHOMISH
98.7,KING
100,KING
83.8,KING
100,KING
,KING
37.4,KING
27.5,KING
91.1,SNOHOMISH
87.1,KING
95.1,KING
72.6,THURSTON
93.1,SKAGIT
91.3,WHATCOM
61,YAKIMA
83.3,YAKIMA
96.1,YAKIMA
93.1,YAKIMA
80.4,YAKIMA
90.7,PEND OREILLE
94.3,PEND OREILLE
87.2,PEND OREILLE
100,GRANT
58.7,CLALLAM
85.3,CLALLAM
88.6,CLALLAM
89.6,SNOHOMISH
70.1,KING
98.6,THURSTON
92.2,SNOHOMISH
92.3,SPOKANE
80.4,CLARK
94.5,THURSTON
93.9,SPOKANE
90.3,KING
33.1,CLARK
93.1,WALLA WALLA
33.3,SAN JUAN
93.3,SPOKANE
94.8,PIERCE
93.5,MASON
100,MASON
89.4,KING
92.6,SPOKANE
96,PIERCE
91.6,PIERCE
93.6,SNOHOMISH
93.6,KING
91.8,KING
89.5,SPOKANE
,SNOHOMISH
93.9,PIERCE
92.2,KING
83.3,KING
74.8,KING
81.8,KING
93.1,KING
92.7,SNOHOMISH
94.4,KING
90.6,WHATCOM
95,KITSAP
97.3,KING
98.3,YAKIMA
77.6,CLARK
89.1,WHATCOM
91.7,SNOHOMISH
91.2,SNOHOMISH
92.7,KING
96.1,KITSAP
74.5,CLARK
96,KITSAP
78.8,KITSAP
82.8,GRAYS HARBOR
85.2,SKAGIT
44.5,SKAGIT
0,SKAGIT
,SKAMANIA
50,CLARK
85.7,SNOHOMISH
61.8,SNOHOMISH
50,KING
80,KING
93.1,SNOHOMISH
94.7,PIERCE
89.5,WHATCOM
97.4,KING
90.7,CLARK
93.4,CLARK
95.6,KING
52.5,PIERCE
,PIERCE
48,SPOKANE
50.7,PIERCE
,CLARK
,KING
92.8,KING
,YAKIMA
76.2,GRANT
90,SNOHOMISH
100,KING
28.6,KING
90.5,KING
100,KING
82.6,SPOKANE
88.9,GRANT
84.6,GRANT
80,SNOHOMISH
91.9,KING
92.7,CLARK
91.9,KING
100,KING
97.2,SNOHOMISH
90.9,THURSTON
94.1,KITSAP
,KITSAP
95.4,KITSAP
79.1,KING
92.6,SPOKANE
93,CLARK
88.1,KING
,PIERCE
91,PIERCE
98,THURSTON
82.2,ISLAND
87.4,ISLAND
95.9,KING
96,BENTON
96.8,BENTON
82.9,SPOKANE
83.9,MASON
92.9,SPOKANE
89.4,KING
92.3,THURSTON
95.3,PIERCE
94.5,PIERCE
84.5,PIERCE
94.2,CLARK
100,CHELAN
100,KING
95.5,PIERCE
92,KING
52.3,SPOKANE
100,SPOKANE
96.8,SPOKANE
78.6,SPOKANE
58.3,SPOKANE
90.7,SPOKANE
55.4,SPOKANE
59.4,SPOKANE
75,SPOKANE
100,LINCOLN
100,LINCOLN
100,KING
100,KING
93,KING
66.3,STEVENS
51.8,STEVENS
89.7,SNOHOMISH
85,KING
95.1,WHATCOM
,SPOKANE
94.4,SPOKANE
0,KING
95.5,KING
96.7,KING
72.1,WALLA WALLA
97.2,KING
100,KING
96.2,KING
99.5,KING
93.8,KITSAP
92.8,PIERCE
87.5,SPOKANE
,KING
91.2,KING
97.1,PIERCE
94.7,KING
94.8,WHITMAN
59.1,YAKIMA
87.1,KING
89.2,SPOKANE
93.9,WHITMAN
,KING
97.3,YAKIMA
92.1,LEWIS
99.7,CLARK
97,KING
,CHELAN
93.4,BENTON
96.2,KING
78.6,KING
93.6,KING
,KING
97.8,SNOHOMISH
96.8,GRAYS HARBOR
88.3,PIERCE
74.2,SPOKANE
,SPOKANE
100,KING
96.5,SNOHOMISH
94.9,THURSTON
43.5,SPOKANE
98.3,KING
95.6,PIERCE
,SPOKANE
33.2,FRANKLIN
96.1,PIERCE
93.3,YAKIMA
45.1,KING
78.4,WHATCOM
80,WHATCOM
92.2,CHELAN
93.5,KING
83.9,SNOHOMISH
100,GRANT
97.2,COWLITZ
91.5,KING
71.8,SPOKANE
93.9,SNOHOMISH
96.4,KING
99.6,KING
95,PIERCE
96.2,PIERCE
,LINCOLN
84.2,PIERCE
99,YAKIMA
88.4,SNOHOMISH
93.6,SNOHOMISH
79.9,SNOHOMISH
,BENTON
91.4,KING
100,COLUMBIA
87.4,SKAGIT
,CHELAN
97.4,PIERCE
,SNOHOMISH
87.8,KING
95.4,KING
97.6,WHITMAN
98.7,DOUGLAS
93.4,SPOKANE
84.5,KING
93.9,GRAYS HARBOR
86.5,CLALLAM
98.8,FRANKLIN
89.3,SKAMANIA
86.3,KING
81,SKAMANIA
95.4,PIERCE
96.4,PIERCE
58.4,SNOHOMISH
92.9,SAN JUAN
83.8,KING
64.9,PEND OREILLE
62.3,SNOHOMISH
80.6,SNOHOMISH
32.4,SNOHOMISH
69.7,SNOHOMISH
90,WHATCOM
,SNOHOMISH
71.4,KING
96.1,PIERCE
96.4,KING
88.7,SPOKANE
59.7,STEVENS
82.1,CLARK
97.5,YAKIMA
92,PIERCE
87.2,PIERCE
97.5,YAKIMA
37.9,JEFFERSON
97.2,KING
90.3,KING
94.4,SNOHOMISH
86.5,WHATCOM
94.8,YAKIMA
95.5,YAKIMA
91,WHITMAN
94.7,SNOHOMISH
99.7,YAKIMA
96.5,CHELAN
96.1,KITSAP
96.6,THURSTON
91.2,KING
87.3,KING
93.4,PIERCE
94.4,SPOKANE
93.8,KING
0,KING
88.5,SPOKANE
94.4,KING
71.4,CLARK
94.4,PIERCE
97.5,BENTON
93.3,KING
91.9,KITSAP
95.1,PIERCE
56.8,JEFFERSON
93.8,KITTITAS
94.2,KING
92.7,PIERCE
50,PIERCE
88.1,GRAYS HARBOR
98.4,GRAYS HARBOR
94,KING
89,KING
93.8,KING
95.7,KING
68,KING
,BENTON
92.2,COWLITZ
93.3,KING
94.8,KING
83.6,WHITMAN
91.5,WHITMAN
95.4,THURSTON
90.7,THURSTON
89.6,THURSTON
89.3,KING
97.1,YAKIMA
92,SNOHOMISH
94.2,KING
95.5,KING
70.6,KING
83.3,THURSTON
62.5,KING
82.6,SPOKANE
75,KING
0,KITSAP
77,KING
83.5,KING
32.6,THURSTON
74.7,CHELAN
100,KING
91.7,KING
,SNOHOMISH
88.6,KING
99.2,YAKIMA
85.7,KING
91,KING
79.8,KING
79.7,KITTITAS
43.1,KING
94.7,KING
0,COWLITZ
95.3,COWLITZ
81.4,SPOKANE
53.2,KING
87.2,KING
92,KING
68.3,THURSTON
91.4,YAKIMA
90.5,KING
89.5,KING
98.9,KING
98.4,PIERCE
73.4,KING
91.6,KING
92.6,THURSTON
100,KING
84.4,KING
91.3,LEWIS
93.4,LEWIS
84.8,LEWIS
89.6,KING
88,OKANOGAN
86.6,OKANOGAN
80.2,OKANOGAN
97.4,YAKIMA
96.5,YAKIMA
80.5,KING
92.2,KING
94.7,SNOHOMISH
92.8,SNOHOMISH
71,KING
99.1,WALLA WALLA
,THURSTON
87.2,COWLITZ
89.4,COWLITZ
87.8,SPOKANE
85.6,SPOKANE
95.7,FRANKLIN
91.9,FRANKLIN
93.6,SPOKANE
100,YAKIMA
64.8,KLICKITAT
76.5,KLICKITAT
96.3,PIERCE
82.7,CLARK
84.8,CLARK
92.7,KING
,SNOHOMISH
90.9,THURSTON
85.5,THURSTON
92.3,THURSTON
,THURSTON
90.1,KING
86.8,SNOHOMISH
81.5,KING
88.4,KING
76.1,KING
87.2,KING
98.4,PIERCE
97.5,KING
88.3,YAKIMA
58.2,CLARK
91.2,CLARK
90.3,KING
0,KING
92,SPOKANE
93.5,SPOKANE
89.3,PIERCE
28.6,PIERCE
97.2,KING
58.6,SPOKANE
63.6,SPOKANE
73.8,CHELAN
83.7,ISLAND
93.7,CHELAN
92.3,KING
79.8,CHELAN
92.3,KING
81.7,SPOKANE
100,KING
73.7,STEVENS
100,YAKIMA
89.4,KITTITAS
91.3,SNOHOMISH
87.9,KING
90.6,CLARK
89.6,CLARK
80.9,KING
92.1,PIERCE
94.1,PIERCE
87.8,SNOHOMISH
86.1,KITSAP
92.7,KING
85.2,CLARK
74.1,KING
97,KING
92.5,KITSAP
99.9,FRANKLIN
51.9,WHATCOM
95.6,PIERCE
97,BENTON
87.8,WHATCOM
93.3,WHATCOM
95.6,PIERCE
81.3,SNOHOMISH
86.6,KITTITAS
94.7,LEWIS
,THURSTON
64.2,CLARK
87.1,WHATCOM
98.7,ADAMS
85.1,WAHKIAKUM
94.7,GRANT
98.3,WALLA WALLA
96,WALLA WALLA
25,SAN JUAN
91.7,PIERCE
94.5,WALLA WALLA
92.8,WALLA WALLA
95.9,COWLITZ
92.9,PIERCE
84.1,CLARK
91,KITTITAS
75.8,YAKIMA
42.8,YAKIMA
97.7,GRANT
96.7,GRANT
100,ADAMS
92.5,GRANT
93.1,PIERCE
47.9,SPOKANE
93.2,CLARK
98.5,YAKIMA
94.1,LEWIS
95.2,SKAGIT
90,KING
97.6,BENTON
96.6,CHELAN
99.1,PIERCE
93.3,YAKIMA
81.8,THURSTON
65.5,KING
1.2,KING
91.2,PIERCE
94.1,CLARK
73.8,ADAMS
90.7,DOUGLAS
89.9,DOUGLAS
87.3,KLICKITAT
92.3,KING
94.2,KING
100,STEVENS
95.4,STEVENS
93.1,STEVENS
71.6,STEVENS
97.2,CHELAN
98.1,CHELAN
93.8,KING
76,KITSAP
92.4,KING
92.9,KING
76.3,KING
87.6,KING
92,KITSAP
75.9,SPOKANE
92.6,SPOKANE
100,ISLAND
96.8,YAKIMA
97.2,YAKIMA
96,YAKIMA
96.4,YAKIMA
93,SKAGIT
88.4,KING
,SPOKANE
92.2,SNOHOMISH
94.5,BENTON
93.1,KING
84.9,SNOHOMISH
97,YAKIMA
98.4,CHELAN
90.8,KING
94.2,SPOKANE
86.3,KING
74,SPOKANE
93.3,PIERCE
,WHATCOM
50.6,WHATCOM
84,WHATCOM
30.4,ISLAND
97.2,BENTON
99.7,KING
63,LEWIS
75.1,LEWIS
93.2,PIERCE
75,KLICKITAT
100,YAKIMA
95.9,SPOKANE
88.7,PIERCE
76.1,KING
85.4,SKAGIT
98.4,YAKIMA
97.8,BENTON
93,SNOHOMISH
99.3,FRANKLIN
85.8,KING
94.3,PIERCE
69.2,KING
96.8,YAKIMA
89.9,LINCOLN
94.9,LINCOLN
94.9,KING
88.5,PIERCE
96.7,KING
95.9,BENTON
89,PIERCE
98.8,PACIFIC
97.7,PACIFIC
92.3,SPOKANE
93.6,GRANT
89.9,GRANT
88.5,SPOKANE
96.8,PIERCE
96.3,YAKIMA
73.2,SKAMANIA
72,SPOKANE
78.2,WHATCOM
89.4,KING
85.2,LEWIS
94.4,LEWIS
85.9,LEWIS
81.3,GRAYS HARBOR
,KLICKITAT
77.9,PIERCE
90.1,CLARK
73.9,KING
16.7,KING
93.3,KING
90.3,KING
85.8,THURSTON
96.6,PIERCE
90.1,COWLITZ
88.5,COWLITZ
,COWLITZ
,COWLITZ
78.1,COWLITZ
,COWLITZ
82.8,COWLITZ
96.9,KITSAP
89.4,KING
86.4,KING
93.5,SPOKANE
89.5,KING
90.5,SNOHOMISH
94.9,KITSAP
,KING
67.8,CLARK
,CLARK
77.6,YAKIMA
94.6,YAKIMA
90.5,COWLITZ
100,KING
86.2,THURSTON
90.1,THURSTON
88.7,THURSTON
86.9,THURSTON
79,CLARK
90.6,PIERCE
95,YAKIMA
93.1,YAKIMA
89.6,YAKIMA
72.1,SNOHOMISH
,KING
